	x	y	theta	v	a	sigma	omega	t
91	6.343063624600238	-11.236926039048237	-0.5709906740528325	0.7256592507468429	-1.0000000099841904	0.554430492531529	0.500000001292394	7.41785004395754
92	6.392291137763938	-11.268548175076711	-0.5580514470222948	0.6450304451135664	-1.0000000099848494	0.5947448950485483	0.49999999880556173	7.498478848783166
93	6.436408957211089	-11.296088211276352	-0.5454868697038746	0.5644016394798429	-1.000000009985456	0.6350592973650568	0.4999999935353646	7.579107653608792
94	6.475311769493294	-11.319698822081927	-0.5335105190271067	0.4837728338455706	-1.0000000099860165	0.675373699256635	0.4999999771267483	7.659736458434417
95	6.508897013383062	-11.339535692057673	-0.5223514768062761	0.4031440282105955	-1.0000000099865356	0.7156880998252055	0.42555396181513105	7.740365263260043
96	6.537067437299205	-11.355753078330261	-0.5122578809503076	0.3225152225746724	-1.000000009987018	0.7500000071551691	-8.685915972343008e-09	7.820994068085668
97	6.55973357960438	-11.368498857622178	-0.5036060057831913	0.24188641693737897	-1.000000009987467	0.7500000064548347	-1.9188113081759765e-08	7.901622872911294
98	6.576815255222205	-11.377910757671602	-0.4971170994167839	0.1612576112978983	-1.0000000099878859	0.7500000049077201	-6.056191080921657e-08	7.98225167773692
99	6.588243514228809	-11.384111331862673	-0.492791161852415	0.08062880565431016	-1.0000000099882773	0.7500000000246855	-0.21546627006653357	8.062880482562544
100	6.593971001873097	-11.387186871059345	-0.4906281930912438	0.0	0.0	0.7326272121889855	0.0	8.14350928738817
101	6.593971001873097	-11.387186871059345	-0.4906281930912051	-9.999103781354236e-09	-1.0000000099845479	-0.7486093705247844	-0.023411898471722033	8.202908050019172
102	6.593971001348376	-11.38718687077958	-0.4906281928937014	-0.059398773318178326	-1.0000000099841662	-0.7500000083248477	-1.3995678032244971e-08	8.262306812650174
103	6.5908589862322975	-11.385524446829471	-0.48945431025435726	-0.1187975365689786	-1.0000000099837651	-0.7500000091561736	-4.635327266374739e-09	8.321705575281175
104	6.584631057836793	-11.38220690778049	-0.4871065451711606	-0.17819629980840906	-1.000000009983344	-0.7500000094315064	-2.290678839712228e-09	8.381104337912177
105	6.575277508062244	-11.377252545611034	-0.48358489764435025	-0.23759506304314199	-1.0000000099829003	-0.7500000095675698	-1.351415530433257e-09	8.440503100543179
106	6.562782922567036	-11.37069069022383	-0.47888936767403595	-0.2969938262752978	-1.0000000099824327	-0.7500000096478423	-8.802455119599068e-10	8.49990186317418
107	6.547126348912362	-11.362561797087556	-0.4730199552602862	-0.35639258950581765	-1.0000000099819393	-0.7500000097001277	-6.093179782814984e-10	8.559300625805182
108	6.528281530391633	-11.352917566634702	-0.46597666040315217	-0.4157913527352006	-1.0000000099814175	-0.7500000097363204	-4.381305827142032e-10	8.618699388436184
